PLZ,Straße,Hausnummer,Art der Ladeeinrichung,Anzahl Ladepunkte,Nennleistung Ladeeinrichtung [kW]
10115,Koppenplatz,11,Normalladeeinrichtung,2,30.0
10115,Schröderstr.,9,Normalladeeinrichtung,2,22.0
10115,Ruppiner Str.,5,Normalladeeinrichtung,2,22.0
10115,Hannoversche Str.,6,Normalladeeinrichtung,2,22.0
10115,Eichendorffstr.,12,Normalladeeinrichtung,2,22.0
10115,Anklamer Str.,12,Normalladeeinrichtung,2,22.0
10115,Kieler Str.,5,Normalladeeinrichtung,2,22.0
10115,Borsigstr.,1,Normalladeeinrichtung,2,22.0
10115,Invalidenstr.,44,Normalladeeinrichtung,2,22.0
10115,Wöhlertstr.,18,Normalladeeinrichtung,2,22.0
10115,Schlegelstr.,28,Normalladeeinrichtung,2,22.0
10115,Krausnickstr.,13,Normalladeeinrichtung,2,22.0
10115,Habersaathstr.,34,Normalladeeinrichtung,2,22.0
10115,Ackerstr.,29,Normalladeeinrichtung,2,30.0
10115,Ackerstr.,118,Normalladeeinrichtung,2,44.0
10115,Ackerstr.,118,Normalladeeinrichtung,2,44.0
10115,Chausseestr.,61,Schnellladeeinrichtung,1,175.0
10115,Chausseestr.,61,Schnellladeeinrichtung,1,175.0
10115,Torstraße,165,Normalladeeinrichtung,2,44.0
10115,Anklamer Straße,8,Normalladeeinrichtung,2,44.0
10115,Pflugstraße,9,Normalladeeinrichtung,2,22.0
10115,Scharnhorststr.,31,Normalladeeinrichtung,2,22.0
10115,Boyenstr.,23,Normalladeeinrichtung,2,44.0
10115,Platz vor dem Neuen Tor,0,Normalladeeinrichtung,2,44.0
10115,Ackerstraße,6,Normalladeeinrichtung,2,22.0
10115,Gartenstr.,13,Normalladeeinrichtung,2,44.0
10115,Gartenstraße,87,Normalladeeinrichtung,1,22.0
10115,Gartenstraße,87,Normalladeeinrichtung,1,22.0
10115,Gartenstraße,87,Normalladeeinrichtung,1,22.0
