PLZ,Residents
10115,20313
10117,12217
10119,16363
10178,12167
10179,18664
10243,28390
10245,27732
10247,32718
10249,25981
10315,28442
10317,19072
10318,22187
10319,22951
10365,22665
10367,18902
10369,19115
10405,27350
10407,21632
10409,21656
10435,15359
10437,27821
10439,25939
10551,16424
10553,8986
10555,15880
10557,16266
10559,14796
10585,12688
10587,11007
10589,12958
10623,5742
10625,10488
10627,11179
10629,11420
10707,11116
10709,8771
10711,9794
10713,10686
10715,15464
10717,14042
10719,8869
10777,12267
10779,9214
10781,11956
10783,11151
10785,10438
10787,5613
10789,4131
10823,8295
10825,9739
10827,13930
10829,13001
10961,17874
10963,12398
10965,17854
10967,19571
10969,25382
10997,23800
10999,24321
12043,13725
12045,15523
12047,13778
12049,18890
12051,22413
12053,15373
12055,13438
12057,14734
12059,16059
12099,14009
12101,14976
12103,18712
12105,22534
12107,19741
12109,14955
12157,18385
12159,14565
12161,16654
12163,17576
12165,4803
12167,18852
12169,16524
12203,19299
12205,13881
12207,21499
12209,14892
12247,19441
12249,22069
12277,13304
12279,16381
12305,20742
12307,11924
12309,15900
12347,17699
12349,21692
12351,19154
12353,31768
12355,27263
12357,13849
12359,19945
12435,16319
12437,21740
12439,9929
12459,18149
12487,18147
12489,15233
12524,25439
12526,11164
12527,9425
12529,13424
12555,26978
12557,21494
12559,17643
12587,17717
12589,9223
12619,25458
12621,16074
12623,27373
12627,35353
12629,13410
12679,25777
12681,17149
12683,24329
12685,18578
12687,17992
12689,22446
13051,21820
13053,18486
13055,27928
13057,16106
13059,14495
13086,24110
13088,24071
13089,6240
13125,31379
13127,19255
13129,6471
13156,26467
13158,17234
13159,1759
13187,30146
13189,25951
13347,27115
13349,12330
13351,14173
13353,24259
13355,21464
13357,25833
13359,22161
13403,26703
13405,4826
13407,24022
13409,26581
13435,17011
13437,14481
13439,19016
13465,16865
13467,15265
13469,16156
13503,17113
13505,6368
13507,22195
13509,15967
13581,14355
13583,20761
13585,20238
13587,20108
13589,21103
13591,26815
13593,20185
13595,19966
13597,8490
13599,13720
13627,17126
13629,11830
14050,10170
14052,11471
14053,139
14055,10661
14057,12237
14059,19704
14089,17734
14109,10049
14129,13834
14163,16361
14165,13956
14167,15485
14169,17274
14193,15505
14195,14667
14197,17889
14199,13657
